functional_area,n_hires,median_interviews,median_apps,avg_score,qualifiziert_pct,empf_schwellenwert,abdeckung_bei_median_pct,abdeckung_bei_schwellenwert_pct
Craft & Construction,163,1.0,20.0,0.55,69.9,2.0,50.9,73.0
Helpers,28,1.0,17.0,0.6,80.6,2.0,57.1,60.7
Mobility,42,1.0,10.0,0.56,71.6,2.0,52.4,66.7
Finance,255,2.0,21.0,0.62,78.2,3.0,55.7,70.2
Human Resources,119,2.0,19.0,0.65,81.5,3.0,55.5,63.9
"Management, Führung & Strategie",123,2.0,22.0,0.62,77.9,3.0,50.4,61.0
Legal,55,2.0,17.0,0.63,81.3,3.0,56.4,72.7
Engineering & Production,394,2.0,18.0,0.58,72.9,3.0,66.2,78.4
Support,373,2.0,26.0,0.65,80.9,3.0,55.8,67.0
Procurement & Supply Chain,94,2.0,17.0,0.62,75.6,3.0,56.4,74.5
Tech,398,2.0,34.0,0.6,66.6,3.0,56.8,69.1
Healthcare,108,2.5,13.5,0.66,81.9,3.5,50.0,65.7
Other,39,3.0,30.0,0.59,81.0,4.0,64.1,69.2
Sales,306,3.0,31.0,0.66,82.5,4.0,55.2,63.4
Marketing,301,3.0,22.0,0.65,78.3,4.0,60.8,72.8
Hospitality,20,4.0,16.0,0.58,73.8,5.0,55.0,65.0
Education,24,4.0,29.5,0.64,79.5,5.0,54.2,58.3
