discipline,functional_area,n_hires,raw_schwellenwert,raw_erreicht_pct,qualifiziert_schwellenwert,qualifiziert_erreicht_pct,differenz_pct
Elektrohandwerk,Craft & Construction,17,14,82.4,34,23.5,-58.9
Medienproduktion & Publikation,Marketing,19,18,68.4,26,31.6,-36.8
Bauplanung,Craft & Construction,22,38,68.2,51,31.8,-36.4
Management- und Strategieconsulting,"Management, Führung & Strategie",47,30,72.3,74,36.2,-36.1
Banking & Wealth Management,Finance,28,25,67.9,57,32.1,-35.8
Produktionstechnik & Fertigungstechnologien,Engineering & Production,51,22,51.0,24,23.5,-27.5
IT Consulting,Tech,44,70,56.8,104,29.5,-27.3
Taxation & Risk Management,Finance,54,24,63.0,39,37.0,-26.0
"Installation, Instandhaltung & technischer Service",Engineering & Production,31,20,67.7,26,41.9,-25.8
Qualitätssicherung & Prüftechnik,Engineering & Production,28,20,50.0,21,25.0,-25.0
Produktionsausführung und -betrieb,Engineering & Production,38,33,52.6,37,28.9,-23.7
Organisationsentwicklung,"Management, Führung & Strategie",69,36,56.5,46,33.3,-23.2
Technisches Gebäudemanagement,Craft & Construction,35,21,60.0,36,37.1,-22.9
Inside Sales (Innendienst),Sales,40,29,57.5,40,35.0,-22.5
(Key) Account Management,Sales,61,62,54.1,86,32.8,-21.3
SEO / Content Marketing,Marketing,38,37,50.0,48,28.9,-21.1
Kundensupport und -service,Support,83,48,50.6,63,30.1,-20.5
Immobilienverwaltung & -management,Other,15,42,46.7,44,26.7,-20.0
Bau- und Geowissenschaften,Craft & Construction,20,65,50.0,50,30.0,-20.0
Technische Entwicklung & Konstruktion,Engineering & Production,20,64,45.0,65,25.0,-20.0
Kundenorientierte Technik & Anwendung,Engineering & Production,35,16,57.1,27,37.1,-20.0
Recruiting,Human Resources,47,39,55.3,52,36.2,-19.1
"Energie-, Verfahrens- & Umwelttechnik",Engineering & Production,43,33,51.2,36,32.6,-18.6
Pflege und Betreuung,Healthcare,59,18,52.5,22,33.9,-18.6
Rechtsgehilfen & Administration,Legal,24,25,50.0,25,33.3,-16.7
IT Support & Administration,Tech,103,44,47.6,42,31.1,-16.5
Logistik,Procurement & Supply Chain,31,26,51.6,28,35.5,-16.1
Accounting,Finance,112,34,50.0,34,33.9,-16.1
Fahrzeug- & Mobilitätstechnik,Mobility,19,10,57.9,21,42.1,-15.8
Financial Planning & Analysis (FP&A) and Controlling,Finance,41,36,43.9,34,29.3,-14.6
Elektrotechnik & Elektronik,Engineering & Production,84,35,51.2,40,36.9,-14.3
Produkt- und Industriedesign,Engineering & Production,29,36,48.3,36,34.5,-13.8
Büro & Administration,Support,63,39,42.9,39,30.2,-12.7
Software Development & Engineering,Tech,135,57,50.4,57,37.8,-12.6
Performance Marketing,Marketing,16,48,50.0,59,37.5,-12.5
Grafikdesign / Webdesign / Mediendesign,Marketing,40,38,52.5,38,40.0,-12.5
Assistenten,Support,82,44,40.2,44,28.0,-12.2
Medizinische Versorgung und Behandlung,Healthcare,25,20,44.0,21,32.0,-12.0
Sachbearbeiter / Mitarbeiter,Support,127,32,47.2,36,35.4,-11.8
Bauleitung,Craft & Construction,36,38,50.0,44,38.9,-11.1
Field Sales (Außendienst),Sales,28,75,32.1,78,21.4,-10.7
Business Development / Sales,Sales,107,48,53.3,64,43.0,-10.3
Rechtsanwälte & Juristen,Legal,20,21,35.0,22,25.0,-10.0
HR Generalists,Human Resources,55,27,41.8,26,32.7,-9.1
Produktionsmanagement,Engineering & Production,26,27,42.3,22,34.6,-7.7
Sales Management (Leadership),Sales,29,38,44.8,39,37.9,-6.9
Corporate Finance,Finance,16,37,43.8,35,37.5,-6.3
Supply Chain Management,Procurement & Supply Chain,35,26,42.9,26,37.1,-5.8
Branding / Werbung / Kommunikation,Marketing,70,27,45.7,28,40.0,-5.7
Marketing Generalisten,Marketing,110,35,44.5,36,39.1,-5.4
Tech Projektmanagement & Product & Agile,Tech,20,68,30.0,57,25.0,-5.0
Cybersecurity & Privacy Engineering,Tech,23,44,52.2,52,47.8,-4.4
Einkauf,Procurement & Supply Chain,28,34,35.7,32,32.1,-3.6
DevOps & Cloud Engineering,Tech,15,40,46.7,27,46.7,0.0
Sales Operations & Enablement,Sales,19,62,47.4,51,47.4,0.0
