discipline,functional_area,n_hires,abdeckung_bewerbungszahl_regel_pct,abdeckung_stagnation_pct,median_tage_bis_stopp,differenz_pct
Bau- und Geowissenschaften,Craft & Construction,20,80.0,55.0,126.5,-25.0
"Energie-, Verfahrens- & Umwelttechnik",Engineering & Production,43,72.1,53.5,68.0,-18.6
Banking & Wealth Management,Finance,28,60.7,42.9,65.5,-17.8
Sales Management (Leadership),Sales,29,75.9,58.6,71.0,-17.3
Field Sales (Außendienst),Sales,28,78.6,64.3,97.0,-14.3
Bauleitung,Craft & Construction,36,72.2,58.3,108.5,-13.9
IT Consulting,Tech,44,72.7,61.4,86.0,-11.3
Taxation & Risk Management,Finance,54,64.8,53.7,67.0,-11.1
Fahrzeug- & Mobilitätstechnik,Mobility,19,63.2,52.6,58.0,-10.6
Medizinische Versorgung und Behandlung,Healthcare,25,72.0,64.0,64.0,-8.0
Produktionstechnik & Fertigungstechnologien,Engineering & Production,51,60.8,52.9,62.0,-7.9
Immobilienverwaltung & -management,Other,15,66.7,60.0,86.0,-6.7
Elektrotechnik & Elektronik,Engineering & Production,84,66.7,60.7,99.5,-6.0
Elektrohandwerk,Craft & Construction,17,64.7,58.8,68.0,-5.9
Produktionsausführung und -betrieb,Engineering & Production,38,76.3,71.1,77.5,-5.2
Bauplanung,Craft & Construction,22,72.7,68.2,142.5,-4.5
Pflege und Betreuung,Healthcare,59,74.6,72.9,85.0,-1.7
Cybersecurity & Privacy Engineering,Tech,23,60.9,60.9,79.0,0.0
Einkauf,Procurement & Supply Chain,28,67.9,67.9,84.0,0.0
Corporate Finance,Finance,16,62.5,62.5,78.0,0.0
Rechtsanwälte & Juristen,Legal,20,75.0,75.0,72.5,0.0
Tech Projektmanagement & Product & Agile,Tech,20,75.0,75.0,93.5,0.0
Recruiting,Human Resources,47,76.6,76.6,84.0,0.0
Branding / Werbung / Kommunikation,Marketing,70,65.7,67.1,61.5,1.4
Sachbearbeiter / Mitarbeiter,Support,127,71.7,73.2,83.0,1.5
Organisationsentwicklung,"Management, Führung & Strategie",69,71.0,72.5,102.0,1.5
Management- und Strategieconsulting,"Management, Führung & Strategie",47,61.7,63.8,96.0,2.1
"Installation, Instandhaltung & technischer Service",Engineering & Production,31,58.1,61.3,82.0,3.2
Produkt- und Industriedesign,Engineering & Production,29,65.5,69.0,88.0,3.5
Rechtsgehilfen & Administration,Legal,24,66.7,70.8,73.5,4.1
Software Development & Engineering,Tech,135,68.1,72.6,93.0,4.5
Assistenten,Support,82,72.0,76.8,79.5,4.8
Grafikdesign / Webdesign / Mediendesign,Marketing,40,65.0,70.0,68.0,5.0
Technische Entwicklung & Konstruktion,Engineering & Production,20,65.0,70.0,77.0,5.0
Inside Sales (Innendienst),Sales,40,57.5,62.5,68.5,5.0
Medienproduktion & Publikation,Marketing,19,68.4,73.7,65.0,5.3
DevOps & Cloud Engineering,Tech,15,66.7,73.3,100.0,6.6
Accounting,Finance,112,65.2,72.3,81.5,7.1
Kundensupport und -service,Support,83,62.7,69.9,88.0,7.2
Produktionsmanagement,Engineering & Production,26,61.5,69.2,86.5,7.7
Kundenorientierte Technik & Anwendung,Engineering & Production,35,62.9,71.4,74.0,8.5
Supply Chain Management,Procurement & Supply Chain,35,65.7,74.3,78.0,8.6
IT Support & Administration,Tech,103,65.0,73.8,87.0,8.8
HR Generalists,Human Resources,55,67.3,76.4,62.0,9.1
Business Development / Sales,Sales,107,68.2,78.5,97.0,10.3
Sales Operations & Enablement,Sales,19,68.4,78.9,89.0,10.5
Qualitätssicherung & Prüftechnik,Engineering & Production,28,64.3,75.0,68.5,10.7
Marketing Generalisten,Marketing,110,68.2,79.1,74.0,10.9
(Key) Account Management,Sales,61,67.2,78.7,120.0,11.5
Logistik,Procurement & Supply Chain,31,67.7,80.6,83.0,12.9
SEO / Content Marketing,Marketing,38,68.4,81.6,71.0,13.2
Technisches Gebäudemanagement,Craft & Construction,35,51.4,65.7,77.0,14.3
Büro & Administration,Support,63,71.4,87.3,76.0,15.9
Financial Planning & Analysis (FP&A) and Controlling,Finance,41,65.9,82.9,84.0,17.0
Performance Marketing,Marketing,16,62.5,93.8,92.0,31.3
