functional_area,n,erfolgsquote_pct
Education,8649,1.5
Helpers,3684,1.28
Healthcare,15308,1.18
Sozialwesen,702,1.0
Other,8552,0.89
Legal,9353,0.86
Human Resources,29061,0.76
Support,88140,0.66
Marketing,74974,0.65
"Management, Führung & Strategie",37189,0.64
Mobility,11245,0.62
Hospitality,5583,0.57
Procurement & Supply Chain,27522,0.52
Sales,111010,0.51
Agriculture,616,0.49
Finance,80267,0.49
Engineering & Production,130268,0.46
Craft & Construction,71145,0.33
Tech,234823,0.26
Art & Entertainment,133,0.0
