discipline,n,erfolgsquote_pct
Branding / Werbung / Kommunikation,13346,0.85
Organisationsentwicklung,18235,0.77
Sachbearbeiter / Mitarbeiter,29328,0.75
Recruiting,13647,0.72
Marketing Generalisten,25162,0.67
Business Development / Sales,39568,0.63
Kundensupport und -service,22229,0.6
"Energie-, Verfahrens- & Umwelttechnik",13722,0.59
Assistenten,18895,0.58
Taxation & Risk Management,15298,0.57
Management- und Strategieconsulting,17250,0.52
Accounting,36710,0.48
(Key) Account Management,22760,0.44
Elektrotechnik & Elektronik,29681,0.38
Financial Planning & Analysis (FP&A) and Controlling,15850,0.33
IT Support & Administration,51719,0.31
Sales Management (Leadership),14029,0.29
IT Consulting,26945,0.27
Software Development & Engineering,90431,0.21
Bauplanung,15781,0.2
